timestamp,open,high,low,close,volume
2025-10-01,65000.0,68062.76,64978.67,67747.1,37550.42
2025-10-02,67747.1,68544.74,67550.55,68437.31,37494.71
2025-10-03,68437.31,70599.87,68009.28,70178.45,27966.55
2025-10-04,70178.45,70188.95,69862.53,69877.47,35345.58
2025-10-05,69877.47,70934.06,69685.69,70846.29,55910.78
2025-10-06,70846.29,70896.35,67388.16,68142.58,48768.44
2025-10-07,68142.58,69525.24,67452.43,67483.06,31757.31
2025-10-08,67483.06,69001.65,64789.03,65035.65,52706.31
2025-10-09,65035.65,65733.14,62774.49,63828.34,35377.93
2025-10-10,63828.34,65550.32,63028.66,64682.73,31665.8
2025-10-11,64682.73,67761.22,64138.92,67538.73,23120.32
2025-10-12,67538.73,67880.08,66179.31,67234.83,34190.41
2025-10-13,67234.83,69404.45,67053.69,67878.81,38595.55
2025-10-14,67878.81,67991.76,66940.56,66988.57,45731.12
2025-10-15,66988.57,67195.89,65808.8,66766.88,58423.69
2025-10-16,66766.88,68432.8,66700.55,67604.18,20899.98
2025-10-17,67604.18,68892.96,66914.11,66980.83,21159.43
2025-10-18,66980.83,70732.24,66206.78,69826.74,28518.85
2025-10-19,69826.74,70650.69,68264.8,69302.71,50837.58
2025-10-20,69302.71,71169.81,67758.67,68813.02,50019.61
2025-10-21,68813.02,69894.12,68680.31,69384.12,50854.24
2025-10-22,69384.12,69896.3,65998.66,66299.98,44643.67
2025-10-23,66299.98,66691.66,65777.33,65975.06,41993.45
2025-10-24,65975.06,68656.2,65602.12,68114.11,49223.18
2025-10-25,68114.11,68165.65,67634.56,68093.27,39364.9
2025-10-26,68093.27,68879.4,67740.58,67998.16,57381.42
2025-10-27,67998.16,68319.06,66833.77,67416.58,25083.54
2025-10-28,67416.58,68875.45,67230.77,68047.55,50200.36
2025-10-29,68047.55,70585.21,66878.68,70474.67,53040.53
2025-10-30,70474.67,70818.32,68984.4,69667.51,51352.6
2025-10-31,69667.51,69794.93,67504.08,67519.1,46351.32
2025-11-01,67519.1,68237.13,66653.05,66794.84,29911.07
2025-11-02,66794.84,67947.38,66744.2,67858.74,49714.91
2025-11-03,67858.74,69389.8,67184.99,69184.19,54268.22
2025-11-04,69184.19,69434.83,67762.29,68117.16,31235.12
2025-11-05,68117.16,69332.54,67897.69,68474.3,38445.63
2025-11-06,68474.3,68729.94,64669.66,65132.79,23662.87
2025-11-07,65132.79,66773.51,64148.7,65940.64,24282.86
2025-11-08,65940.64,66483.64,65305.87,65489.97,27434.27
2025-11-09,65489.97,66027.09,62972.78,62974.99,32213.0
2025-11-10,62974.99,65803.21,61994.91,64694.11,45256.61
2025-11-11,64694.11,66547.67,63860.85,65921.23,21611.86
