timestamp,open,high,low,close,volume
2025-10-01,0.343,0.3505,0.3388,0.35,3403.9
2025-10-02,0.35,0.3517,0.3345,0.3371,34190.05
2025-10-03,0.3371,0.3565,0.3341,0.3529,35553.42
2025-10-04,0.3529,0.3581,0.3374,0.3429,39237.04
2025-10-05,0.3429,0.3523,0.3411,0.3481,45112.55
2025-10-06,0.3578,0.3614,0.3302,0.3335,12227.37
2025-10-07,0.3474,0.3533,0.347,0.3509,2522.27
2025-10-08,0.3509,0.3571,0.3263,0.3331,12992.13
2025-10-09,0.3331,0.3529,0.3299,0.3493,39180.45
2025-10-10,0.3493,0.3527,0.3462,0.351,27924.06
2025-10-11,0.351,0.3553,0.3389,0.3397,14514.52
2025-10-12,0.3397,0.3609,0.3352,0.3562,39671.46
2025-10-13,0.3562,0.3651,0.3516,0.3577,15921.05
2025-10-14,0.3577,0.3641,0.3479,0.3498,39710.56
2025-10-15,0.3498,0.3525,0.3394,0.342,35930.74
2025-10-16,0.353,0.3573,0.3423,0.3566,15238.62
2025-10-17,0.3566,0.3731,0.354,0.3651,16169.82
2025-10-18,0.3651,0.3654,0.3565,0.3623,38738.78
2025-10-19,0.3623,0.3687,0.3585,0.3685,32776.32
2025-10-20,0.3685,0.3687,0.3406,0.3459,3337.6
2025-10-21,0.3459,0.3625,0.3413,0.3559,26614.84
2025-10-22,0.3559,0.3573,0.3506,0.3562,27608.36
2025-10-23,0.3562,0.3608,0.3491,0.3516,2361.67
2025-10-24,0.3516,0.3527,0.3446,0.3475,4185.05
2025-10-25,0.3475,0.3595,0.3447,0.3589,29307.62
2025-10-26,0.3149,0.3412,0.3117,0.3379,19596.77
2025-10-27,0.328,0.3484,0.3211,0.3443,38293.79
2025-10-28,0.3443,0.3597,0.3393,0.3593,35399.03
2025-10-29,0.3593,0.3636,0.3503,0.3525,3576.23
2025-10-30,0.3525,0.3666,0.3494,0.3633,1846.36
2025-10-31,0.3633,0.3718,0.3386,0.3451,6996.77
2025-11-01,0.3451,0.3493,0.3311,0.3341,31584.38
2025-11-02,0.3341,0.3353,0.317,0.3212,22549.5
2025-11-03,0.3212,0.3301,0.3201,0.3294,46491.49
2025-11-04,0.3294,0.3315,0.316,0.3194,36334.77
2025-11-05,0.3194,0.3203,0.3082,0.3131,41411.93
2025-11-06,0.3131,0.3143,0.3034,0.3054,49173.56
2025-11-07,0.3054,0.3187,0.3049,0.3159,34106.85
2025-11-08,0.3159,0.3162,0.2968,0.298,34397.42
2025-11-09,0.298,0.2983,0.2891,0.292,49383.74
2025-11-10,0.2999,0.3042,0.2953,0.2998,37423.63
2025-11-11,0.2998,0.312,0.2984,0.3095,42046.97
2025-11-12,0.3095,0.3107,0.2985,0.3048,36152.72
2025-11-13,0.3048,0.3055,0.3047,0.3049,24594.83
2025-11-14,0.3049,0.3189,0.3023,0.3179,14172.8
