timestamp,open,high,low,close,volume
2025-10-01,137.2,142.1168,136.2631,140.0,19207.47
2025-10-02,140.0,146.5004,138.2349,145.3698,10299.02
2025-10-03,145.3698,147.8562,141.9112,146.9448,7500.4
2025-10-04,146.9448,150.8741,146.6141,149.4872,36827.27
2025-10-05,149.4872,149.5262,134.9576,135.9241,23634.31
2025-10-06,134.3467,135.6902,123.9642,125.2164,29784.89
2025-10-07,130.4337,134.8594,128.6806,133.7451,36605.41
2025-10-08,133.7451,140.4929,130.496,139.1724,39889.79
2025-10-09,139.1724,140.4664,132.4245,134.1428,1380.98
2025-10-10,134.1428,138.8118,132.89,137.2447,37107.48
2025-10-11,137.2447,140.7697,136.8414,139.8875,37403.83
2025-10-12,139.8875,144.2227,138.5405,142.1171,14520.76
2025-10-13,142.1171,143.7836,137.9237,139.7386,48559.63
2025-10-14,139.7386,141.3115,135.319,135.7308,25687.72
2025-10-15,135.7308,136.3426,130.0852,131.5646,44855.71
2025-10-16,123.9735,125.4762,120.2168,125.2258,48092.76
2025-10-17,125.2258,129.5412,124.1491,126.8323,14323.78
2025-10-18,126.8323,128.9001,125.2872,126.9885,32304.29
2025-10-19,126.9885,137.8066,125.5627,135.3324,47614.41
2025-10-20,135.3324,142.3443,134.7378,141.4283,49282.03
2025-10-21,141.4283,146.1129,140.9969,144.1515,36818.97
2025-10-22,144.1515,146.6063,140.5891,143.6115,39872.5
2025-10-23,143.6115,145.6866,125.6271,125.7192,39922.76
2025-10-24,125.7192,133.6396,123.4972,131.7293,48651.71
2025-10-25,131.7293,140.4047,130.5303,139.1471,35786.02
2025-10-26,132.6817,143.78,131.3549,142.3564,41713.37
2025-10-27,138.2101,139.5739,136.675,137.9059,39570.01
2025-10-28,137.9059,140.8949,137.5122,137.7183,44626.41
2025-10-29,137.7183,147.6459,134.4172,146.704,21343.02
2025-10-30,146.704,149.8422,144.0451,147.8998,43020.72
2025-10-31,147.8998,150.415,135.8511,136.1155,43699.01
2025-11-01,136.1155,137.5655,129.6451,131.7027,25845.42
2025-11-02,131.7027,135.1246,122.8511,126.2787,15524.75
2025-11-03,126.2787,131.8004,125.3557,131.3696,43956.53
2025-11-04,131.3696,143.1651,130.0491,142.5877,46326.72
2025-11-05,142.5877,143.2401,137.01,137.6831,16089.85
2025-11-06,137.6831,137.9864,127.8691,129.2128,12774.08
2025-11-07,129.2128,132.9052,128.3662,132.3246,18692.88
2025-11-08,132.3246,132.8768,121.055,124.5117,24450.56
2025-11-09,124.5117,128.6209,123.9184,126.5268,2820.81
2025-11-10,121.2149,122.9717,119.3371,121.1544,23478.56
2025-11-11,121.1544,123.0054,118.8103,119.8774,20720.81
2025-11-12,119.8774,123.8055,118.4776,121.7762,9297.62
2025-11-13,121.7762,122.8995,116.824,119.2076,19257.37
2025-11-14,119.2076,127.8113,118.8625,126.931,10028.64
2025-11-15,126.931,131.8354,125.8933,130.5969,45915.95
2025-11-16,130.5969,134.4889,128.0912,134.0876,11428.67
2025-11-17,134.0876,137.3575,133.0538,136.8392,13899.25
2025-11-18,136.8392,146.9541,134.5048,144.6817,32186.54
2025-11-19,144.6817,155.7537,141.5374,152.0866,11791.82
2025-11-20,152.0866,161.5038,149.7596,160.7664,32302.21
2025-11-21,160.7664,164.4851,157.2243,164.4218,1215.51
